name,code
GetFileTitleA,952
RegOpenKeyA,953
RegSetValueExA,954
RegCreateKeyExA,955
RegQueryValueA,956
RegEnumKeyA,957
RegDeleteKeyA,958
RegQueryInfoKeyA,959
SHGetFolderPathA,960
Shell_NotifyIconA,961
DragQueryFileA,962
PathFindFileNameA,964
PathFindExtensionA,965
PathStripToRootA,966
PathIsUNCA,967
UrlUnescapeA,968
AssocQueryStringA,969
StgOpenStorageOnILockBytes,970
StgCreateDocfileOnILockBytes,971
CreateILockBytesOnHGlobal,972
URLDownloadToFileA,973
InternetCrackUrlA,974
HttpOpenRequestA,975
InternetConnectA,976
HttpSendRequestA,977
InternetReadFile,978
InternetWriteFile,979
InternetSetFilePointer,980
InternetSetStatusCallback,981
InternetOpenA,982
InternetGetLastResponseInfoA,983
InternetCloseHandle,984
HttpQueryInfoA,985
HttpAddRequestHeadersA,986
InternetQueryDataAvailable,987
GetFullPathNameW,988
AreFileApisANSI,989
CryptDuplicateHash,990
BuildTrusteeWithNameA,991
CryptGetDefaultProviderW,992
ImageList_GetImageCount,993
ImageList_Write,994
ImageList_DragMove,995
CreateMutexA,996
SendMessageTimeoutA,997
FindWindowA,998
UnmapViewOfFile,1000
HeapSetInformation,1001
OpenSCManagerA,1002
DeleteService,1003
OpenServiceA,1004
StartServiceA,1005
CreateServiceA,1006
CloseServiceHandle,1007
FindNextUrlCacheEntryA,1008
FindFirstUrlCacheEntryA,1009
DeleteUrlCacheEntry,1010
GetCommModemStatus,1011
SetComputerNameW,1012
EnumCalendarInfoExA,1013
SetCriticalSectionSpinCount,1014
HeapQueryInformation,1015
GetExpandedNameW,1016
UpdateResourceW,1017
GetVDMCurrentDirectories,1018
WriteConsoleOutputAttribute,1019
OpenJobObjectA,1020
GetConsoleInputWaitHandle,1021
DnsHostnameToComputerNameW,1022
SetMailslotInfo,1023
RegisterWaitForSingleObjectEx,1024
WriteConsoleOutputCharacterW,1025
WriteTapemark,1026
GetDriveTypeW,1027
GetConsoleTitleA,1028
GetLongPathNameA,1029
SetConsoleTitleA,1030
OpenMutexA,1031
GetTimeFormatW,1032
SQLTables,1033
SQLAllocConnect,1034
SQLError,1035
SQLCancel,1036
SearchPathA,1038
GetShortPathNameA,1039
MoveFileA,1040
SetFileAttributesA,1041
SetFileTime,1042
GetDiskFreeSpaceA,1043
SetClassLongA,1044
AppendMenuA,1045
SetDlgItemTextA,1046
GetDlgItemTextA,1047
MessageBoxIndirectA,1048
CreateDialogParamA,1049
FindWindowExA,1050
DialogBoxParamA,1051
LoadImageA,1052
CreateBrushIndirect,1053
SHGetPathFromIDListA,1054
SHBrowseForFolderA,1055
SHGetFileInfoA,1056
SHFileOperationA,1057
RegEnumValueA,1058
RegDeleteValueA,1059
ImageList_AddMasked,1060
ImageList_Destroy,1061
ImageList_Create,1063
CreateSemaphoreA,1064
_fdopen,1065
_read,1066
_strdup,1067
_ctype,1068
_fstati64,1069
_lseeki64,1070
_pctype,1071
_vsnprintf,1072
fopen,1073
localeconv,1074
memset,1075
rand,1076
srand,1077
strcat,1078
strcmp,1079
strcoll,1080
strcpy,1081
strlen,1082
time,1083
__wgetmainargs,1084
__winitenv,1085
wcsstr,1086
wcsncpy,1087
_wcsicmp,1088
toupper,1089
wprintf,1090
_wtol,1091
wcsspn,1092
wcslen,1093
SetTimeZoneInformation,1094
__GetMainArgs,1095
raise,1096
freeaddrinfo,1098
getaddrinfo,1099
WSASocketW,1100
WSASend,1101
WSARecv,1102
DisableThreadLibraryCalls,1103
GetNativeSystemInfo,1104
IsWow64Process,1105
QueryInformationJobObject,1106
OpenEventW,1107
InterlockedExchangeAdd,1108
QueueUserAPC,1109
SleepEx,1110
PostQueuedCompletionStatus,1111
CreateIoCompletionPort,1112
GetQueuedCompletionStatus,1113
GetThreadContext,1114
Thread32First,1115
Thread32Next,1116
OpenThread,1117
EnumWindows,1118
RegEnumValueW,1119
ReadProcessMemory,1120
LocalFileTimeToFileTime,1121
FreeConsole,1122
GetUserNameA,1123
PathFindFileNameW,1125
StrStrIW,1126
StrStrIA,1127
ContinueDebugEvent,1128
WaitForDebugEvent,1129
InternetConfirmZoneCrossing,1131
InternetGoOnline,1132
GopherFindFirstFileA,1133
InternetFindNextFileW,1134
InternetCanonicalizeUrlW,1135
EnumTimeFormatsA,1136
CreateRemoteThread,1137
GetProfileStringA,1138
AddAccessAllowedAce,1139
ImageList_GetIconSize,1140
ImageList_DragShowNolock,1141
GetCursor,1142
IsZoomed,1143
IsWindowUnicode,1144
GetUserNameW,1145
SHGetSpecialFolderPathA,1147
ShellExecuteExA,1148
?open@?$basic_ofstream@DU?$char_traits@D@std@@@std@@QAEXPBDH@Z,1150
??0?$basic_ofstream@DU?$char_traits@D@std@@@std@@QAE@XZ,1151
?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z,1152
?open@?$basic_filebuf@DU?$char_traits@D@std@@@std@@QAEPAV12@PBDH@Z,1153
??_D?$basic_ifstream@DU?$char_traits@D@std@@@std@@QAEXXZ,1154
?getline@?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV12@PADHD@Z,1155
?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z,1156
??0?$basic_ifstream@DU?$char_traits@D@std@@@std@@QAE@PBDH@Z,1157
??0Init@ios_base@std@@QAE@XZ,1158
??1Init@ios_base@std@@QAE@XZ,1159
??1_Winit@std@@QAE@XZ,1160
??_D?$basic_ofstream@DU?$char_traits@D@std@@@std@@QAEXXZ,1161
?close@?$basic_ofstream@DU?$char_traits@D@std@@@std@@QAEXXZ,1162
??6std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@0@AAV10@PBD@Z,1163
??0_Winit@std@@QAE@XZ,1164
?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z,1165
_snprintf,1166
_acmdln,1167
strstr,1168
vsprintf,1169
strtok,1170
GetComputerNameA,1171
GetPrivateProfileSectionNamesW,1172
GetConsoleAliasW,1173
GetConsoleHardwareState,1174
SetConsoleNlsMode,1175
SetCommBreak,1176
DebugActiveProcessStop,1177
CreateWaitableTimerW,1178
MoveFileExW,1179
PostThreadMessageW,1180
CharUpperW,1181
GetSecurityDescriptorDacl,1182
RegisterServiceCtrlHandlerW,1183
DeregisterEventSource,1184
ReportEventW,1185
RegisterEventSourceW,1186
StartServiceCtrlDispatcherW,1187
